Entity,Code,Year,Renewables per capita (kWh)
Brazil,BRA,1971,1.2490050000000001
Brazil,BRA,1972,1.4297270000000002
Brazil,BRA,1973,1.5929280000000001
Brazil,BRA,1974,1.763249
Brazil,BRA,1975,1.895297
Brazil,BRA,1976,2.119618
Brazil,BRA,1977,2.337285
Brazil,BRA,1978,2.51132
Brazil,BRA,1979,2.789044
Brazil,BRA,1980,3.008357
Brazil,BRA,1981,2.981637
Brazil,BRA,1982,3.146967
Brazil,BRA,1983,3.314467
Brazil,BRA,1984,3.555415
Brazil,BRA,1985,3.7258180000000003
Brazil,BRA,1986,3.733225
Brazil,BRA,1987,3.7295279999999997
Brazil,BRA,1988,3.91507
Brazil,BRA,1989,3.9502829999999998
Brazil,BRA,1990,4.382485
Brazil,BRA,1991,4.530558
Brazil,BRA,1992,4.560862
Brazil,BRA,1993,4.713072
Brazil,BRA,1994,4.807108
Brazil,BRA,1995,4.942127999999999
Brazil,BRA,1996,5.103937
Brazil,BRA,1997,5.237717
Brazil,BRA,1998,5.356075
Brazil,BRA,1999,5.317034
Brazil,BRA,2000,5.349714
Brazil,BRA,2001,4.674265999999999
Brazil,BRA,2002,4.929479000000001
Brazil,BRA,2003,5.137103
Brazil,BRA,2004,5.3206809999999995
Brazil,BRA,2005,5.520577
Brazil,BRA,2006,5.580398000000001
Brazil,BRA,2007,6.0511490000000006
Brazil,BRA,2008,6.1138829999999995
Brazil,BRA,2009,6.4253800000000005
Brazil,BRA,2010,6.6812510000000005
Brazil,BRA,2011,6.855265
Brazil,BRA,2012,6.619196
Brazil,BRA,2013,6.427952
Brazil,BRA,2014,6.353726
Brazil,BRA,2015,6.420413
Brazil,BRA,2016,6.658975000000001
Brazil,BRA,2017,6.634846
Brazil,BRA,2018,7.046457
Brazil,BRA,2019,7.348965000000001
Bulgaria,BGR,1965,0.675612
Bulgaria,BGR,1966,0.673991
Bulgaria,BGR,1967,0.67322
Bulgaria,BGR,1968,0.431548
Bulgaria,BGR,1969,0.604179
Bulgaria,BGR,1970,0.702607
Bulgaria,BGR,1971,0.7042619999999999
Bulgaria,BGR,1972,0.6759729999999999
Bulgaria,BGR,1973,0.8247340000000001
Bulgaria,BGR,1974,0.664189
Bulgaria,BGR,1975,0.7797999999999999
Bulgaria,BGR,1976,0.93532
Bulgaria,BGR,1977,1.1137000000000001
Bulgaria,BGR,1978,0.915333
Bulgaria,BGR,1979,1.038883
Bulgaria,BGR,1980,1.161606
Bulgaria,BGR,1981,1.12858
Bulgaria,BGR,1982,0.9486319999999999
Bulgaria,BGR,1983,1.04031
Bulgaria,BGR,1984,1.009651
Bulgaria,BGR,1985,0.692356
Bulgaria,BGR,1986,0.720062
Bulgaria,BGR,1987,0.786433
Bulgaria,BGR,1988,0.806883
Bulgaria,BGR,1989,0.840077
Bulgaria,BGR,1990,0.590054
Bulgaria,BGR,1991,0.773419
Bulgaria,BGR,1992,0.660507
Bulgaria,BGR,1993,0.629017
Bulgaria,BGR,1994,0.481154
Bulgaria,BGR,1995,0.76713
Bulgaria,BGR,1996,0.977851
Bulgaria,BGR,1997,0.931564
Bulgaria,BGR,1998,1.057113
Bulgaria,BGR,1999,0.947964
Bulgaria,BGR,2000,0.928358
Bulgaria,BGR,2001,0.604422
Bulgaria,BGR,2002,0.7647870000000001
Bulgaria,BGR,2003,1.057418
Bulgaria,BGR,2004,1.107619
Bulgaria,BGR,2005,1.519376
Bulgaria,BGR,2006,1.4914760000000002
Bulgaria,BGR,2007,1.024009
Bulgaria,BGR,2008,1.039201
Bulgaria,BGR,2009,1.3050599999999999
Bulgaria,BGR,2010,2.032515
Bulgaria,BGR,2011,1.3819510000000002
